title,actors
Hell's Angels On Wheels,Jack Nicholson; Adam Roarke; Jack Starrett; Sabrina Scharf; Jana Taylor; Richard Anders; John Garwood; Mireille Machu
Broken Angel,William Shatner; Susan Blakely; Roxanne Biggs; Jason Morat; Millie Perkins; Micole Mercurio; Carmen Zapata; Erika Eleniak
Almost an Angel,Paul Hogan; Elias Koteas; Linda Kozlowski; Charlton Heston; Doreen Lang; Douglas Seale; Ruth Warshawsky; Parley Baer; Michael Alldredge; David Alan Grier
Black Angel,Dan Duryea; June Vincent; Peter Lorre; Broderick Crawford; Constance Dowling; Wallace Ford; Hobart Cavanaugh; Freddie Steele; John Phillips
Scarlet Angel,Yvonne De Carlo; Rock Hudson; Richard Denning; Henry O'Neill; Whitfield Connor; Bodil Miller; Amanda Blake; Maude Wallace
Gaslight,Ingrid Bergman; Charles Boyer; Joseph Cotten; May Whitty; Angela Lansbury; Barbara Everest; Emil Rameau; Edmund Breon
A Stolen Life,Bette Davis; Glenn Ford; Walter Brennan; Dane Clark; Charles Ruggles; Bruce Bennett; Peggy Knudsen; Esther Dale
"Heaven Knows, Mr.Allison",Robert Mitchum; Deborah Kerr
Till the End of Time,Dorothy McGuire; Guy Madison; Robert Mitchum; Bill Williams; Tom Tully; William Gargan; Jean Porter; Johnny Sands; Loren Tindall
The Lonely Guy,Steve Martin; Charles Grodin; Judith Ivey; Steve Lawrence; Robyn Douglass; Merv Griffin; Joyce Brothers; Candi Brough; Randi Brough
Possessed,Joan Crawford; Van Heflin; Raymond Massey; Geraldine Brooks; Stanley Ridges; John Ridgely; Moroni Olsen; Erskine Sanford
Walk on the Wild Side,Laurence Harvey; Jane Fonda; Capucine; Barbara Stanwyck; Anne Baxter; Joanna Moore; Richard Rust; Karl Swenson; Don 'Red' Barry; Juanita Moore
Anne of the Thousand Days,Richard Burton; Geneviève Bujold; Irene Papas; Anthony Quayle; John Colicos; Michael Hordern; Katharine Blake; Valerie Gearon
The Miracle Worker,Anne Bancroft; Patty Duke; Victor Jory; Inga Swenson; Andrew Prine; Kathleen Comegys
